word1,word2,SimLex,cos
old,new,1.58,0.3676930367946625
smart,intelligent,9.2,0.65203458070755
hard,difficult,8.77,0.6357808113098145
happy,cheerful,9.55,0.4403165876865387
hard,easy,0.95,0.57842618227005
fast,rapid,8.75,0.5067919492721558
happy,glad,9.17,0.6905031800270081
short,long,1.23,0.696178674697876
stupid,dumb,9.58,0.7066018581390381
weird,strange,8.93,0.7194186449050903
wide,narrow,1.03,0.4771076440811157
bad,awful,8.42,0.5796493887901306
easy,difficult,0.58,0.6235681176185608
bad,terrible,7.78,0.5597251057624817
hard,simple,1.38,0.3738824129104614
smart,dumb,0.55,0.47744715213775635
insane,crazy,9.57,0.5080569386482239
happy,mad,0.95,0.28777840733528137
large,huge,9.47,0.7353506088256836
hard,tough,8.05,0.6583336591720581
new,fresh,6.83,0.3977462649345398
sharp,dull,0.6,0.2760763168334961
quick,rapid,9.7,0.49903571605682373
dumb,foolish,6.67,0.5356165766716003
wonderful,terrific,8.63,0.7614641189575195
strange,odd,9.02,0.6896308660507202
happy,angry,1.28,0.3708382248878479
narrow,broad,1.18,0.5183157324790955
simple,easy,9.4,0.6061638593673706
old,fresh,0.87,0.22808562219142914
apparent,obvious,8.47,0.6408858299255371
inexpensive,cheap,8.72,0.7645981907844543
nice,generous,5.0,0.3349226415157318
weird,normal,0.72,0.2227534055709839
weird,odd,9.2,0.6151149272918701
bad,immoral,7.62,0.21215347945690155
sad,funny,0.95,0.4593103229999542
wonderful,great,8.05,0.5515519380569458
guilty,ashamed,6.38,0.29509881138801575
beautiful,wonderful,6.5,0.6419878602027893
confident,sure,8.27,0.5975722074508667
dumb,dense,7.27,-0.025369498878717422
large,big,9.55,0.5871997475624084
nice,cruel,0.67,0.16267888247966766
impatient,anxious,6.03,0.6245062947273254
big,broad,6.73,0.26947298645973206
strong,proud,3.17,0.31362539529800415
unnecessary,necessary,0.63,0.4546211361885071
restless,young,1.6,0.3498533368110657
dumb,intelligent,0.75,0.33933135867118835
bad,great,0.35,0.3494499921798706
difficult,simple,0.87,0.39558207988739014
necessary,important,7.37,0.5089575052261353
bad,terrific,0.65,0.34847792983055115
mad,glad,1.45,0.20725281536579132
honest,guilty,1.18,0.22322292625904083
easy,tough,0.52,0.4803442358970642
easy,flexible,4.1,0.33337438106536865
certain,sure,8.42,0.5138026475906372
essential,necessary,8.97,0.6658778786659241
different,normal,1.08,0.4082181453704834
sly,clever,7.25,0.4721408486366272
crucial,important,8.82,0.7103788256645203
harsh,cruel,8.18,0.48717743158340454
childish,foolish,5.5,0.48790642619132996
scarce,rare,9.17,0.28954827785491943
friendly,generous,5.9,0.29152870178222656
fragile,frigid,2.38,0.12816064059734344
long,narrow,3.57,0.3644759953022003
big,heavy,6.18,0.40267208218574524
rough,frigid,2.47,0.284358412027359
bizarre,strange,9.37,0.6918293833732605
illegal,immoral,4.28,0.4338546693325043
bad,guilty,4.2,0.20809806883335114
modern,ancient,0.73,0.5174147486686707
new,ancient,0.23,0.1769736260175705
dull,funny,0.55,0.31372857093811035
happy,young,2.0,0.3762149512767792
easy,big,1.12,0.4540352523326874
great,awful,1.17,0.32101988792419434
tiny,huge,0.6,0.37349334359169006
polite,proper,7.63,0.247955784201622
modest,ashamed,2.65,-0.027478376403450966
exotic,rare,8.05,0.36943912506103516
dumb,clever,1.17,0.44237038493156433
delightful,wonderful,8.65,0.630378782749176
noticeable,obvious,8.48,0.4763263165950775
afraid,anxious,5.07,0.536708414554596
formal,proper,8.02,0.4750854969024658
dreary,dull,8.25,0.5216662287712097
delightful,cheerful,6.58,0.38858750462532043
unhappy,mad,5.95,0.14236953854560852
sad,terrible,5.4,0.5123891234397888
sick,crazy,3.57,0.34707874059677124
violent,angry,6.98,0.45050838589668274
laden,heavy,5.9,0.2050265371799469
dirty,cheap,1.6,0.4342684745788574
elastic,flexible,7.78,0.3601680397987366
hard,dense,5.9,0.19293905794620514
recent,new,7.05,0.44638484716415405
bold,proud,3.97,0.26275569200515747
sly,strange,1.97,0.19392666220664978
strange,sly,2.07,0.19392666220664978
dumb,rare,0.48,0.032606713473796844
sly,tough,0.58,0.10145506262779236
terrific,mad,0.4,0.15125593543052673
modest,flexible,0.98,0.17297878861427307
fresh,wide,0.4,0.22419951856136322
huge,dumb,0.48,0.06410383433103561
large,flexible,0.48,0.25078874826431274
dirty,narrow,0.3,0.1413603127002716
wife,husband,2.3,0.8646390438079834
book,text,6.35,0.43314507603645325
groom,bride,3.17,0.6958857774734497
night,day,1.88,0.6382712125778198
south,north,2.2,0.8112710118293762
plane,airport,3.65,0.533444344997406
uncle,aunt,5.5,0.6660683751106262
horse,mare,8.33,0.35035863518714905
bottom,top,0.7,0.45790576934814453
friend,buddy,8.78,0.4679761528968811
student,pupil,9.35,0.4264347553253174
world,globe,6.67,0.28540992736816406
leg,arm,2.88,0.5003880262374878
plane,jet,8.1,0.7118369340896606
woman,man,3.33,0.6998664140701294
horse,colt,7.07,0.46563082933425903
actress,actor,7.12,0.7266826629638672
teacher,instructor,9.25,0.5895410776138306
movie,film,8.87,0.8588785529136658
bird,hawk,7.85,0.266201376914978
word,dictionary,3.68,0.4258321225643158
money,salary,7.88,0.406452476978302
dog,cat,1.75,0.681674599647522
area,region,9.47,0.5949604511260986
navy,army,6.43,0.5100972652435303
book,literature,7.53,0.5205052495002747
clothes,closet,3.27,0.4050624966621399
sunset,sunrise,2.47,0.6771531701087952
child,adult,2.98,0.5210124254226685
cow,cattle,9.52,0.6248131394386292
book,story,5.63,0.568151593208313
winter,summer,2.38,0.7940487861633301
taxi,cab,9.2,0.6491175293922424
tree,maple,5.53,0.4436684846878052
bed,bedroom,3.4,0.5787265300750732
roof,ceiling,7.58,0.5446459054946899
disease,infection,7.15,0.7082577347755432
arm,shoulder,4.85,0.5409058332443237
sheep,lamb,8.42,0.39483439922332764
lady,gentleman,3.42,0.3363821506500244
boat,anchor,2.25,0.22000449895858765
priest,monk,6.28,0.4932295083999634
toe,finger,4.68,0.49119091033935547
river,stream,7.3,0.5190363526344299
anger,fury,8.73,0.6024014353752136
date,calendar,4.42,0.4418758451938629
sea,ocean,8.27,0.6844729781150818
second,minute,4.62,0.4693047106266022
hand,thumb,3.88,0.4685596525669098
wood,log,7.3,0.3494050204753876
mud,dirt,7.32,0.5580890774726868
hallway,corridor,9.28,0.38590314984321594
way,manner,7.62,0.5595425367355347
mouse,cat,1.12,0.4537909924983978
cop,sheriff,9.05,0.32446742057800293
death,burial,4.93,0.33283740282058716
music,melody,6.98,0.4595632255077362
beer,alcohol,7.5,0.44642701745033264
mouth,lip,7.1,0.3958324193954468
storm,hurricane,6.38,0.8203659653663635
tax,income,2.38,0.6773068904876709
flower,violet,6.95,0.28560203313827515
paper,cardboard,5.38,0.4806648790836334
floor,ceiling,1.73,0.5438960194587708
beach,seashore,8.33,0.3055892884731293
rod,curtain,3.03,0.25574639439582825
hound,fox,2.38,0.18961460888385773
street,alley,5.48,0.3657151460647583
boat,deck,4.28,0.3688931465148926
car,horn,2.57,0.1819358468055725
friend,guest,4.25,0.29891079664230347
employer,employee,3.65,0.6834429502487183
hand,wrist,3.97,0.44394758343696594
ball,cannon,2.58,0.2255285382270813
alcohol,brandy,6.98,0.2660089433193207
victory,triumph,8.98,0.7574272751808167
telephone,booth,3.63,0.32006803154945374
door,doorway,5.4,0.4821951985359192
motel,inn,8.17,0.5806922912597656
clothes,cloth,5.47,0.48015812039375305
steak,meat,7.47,0.47521087527275085
nail,thumb,3.55,0.25079578161239624
band,orchestra,7.08,0.45207932591438293
book,bible,5.0,0.5177960991859436
business,industry,7.02,0.6664636135101318
winter,season,6.27,0.5159531831741333
decade,century,3.48,0.4778154492378235
alcohol,gin,8.65,0.23690520226955414
hat,coat,2.67,0.4794199764728546
window,door,3.33,0.669407844543457
