word1,word2,SimLex,cos
old,new,1.58,0.6800711154937744
smart,intelligent,9.2,0.5986545085906982
hard,difficult,8.77,0.6624955534934998
happy,cheerful,9.55,0.32841113209724426
hard,easy,0.95,0.7191671133041382
fast,rapid,8.75,0.4541988670825958
happy,glad,9.17,0.5955905914306641
short,long,1.23,0.7600469589233398
stupid,dumb,9.58,0.9239513874053955
weird,strange,8.93,0.8160715699195862
wide,narrow,1.03,0.43792957067489624
bad,awful,8.42,0.6805596947669983
easy,difficult,0.58,0.6484587788581848
bad,terrible,7.78,0.6663132905960083
hard,simple,1.38,0.45180249214172363
smart,dumb,0.55,0.6342840194702148
insane,crazy,9.57,0.7868415117263794
happy,mad,0.95,0.5260708332061768
large,huge,9.47,0.6695194840431213
hard,tough,8.05,0.6912080645561218
new,fresh,6.83,0.604793906211853
sharp,dull,0.6,0.4656514525413513
quick,rapid,9.7,0.41694897413253784
dumb,foolish,6.67,0.5900697708129883
wonderful,terrific,8.63,0.6522008180618286
strange,odd,9.02,0.7902945280075073
happy,angry,1.28,0.45471012592315674
narrow,broad,1.18,0.4750005602836609
simple,easy,9.4,0.6904165744781494
old,fresh,0.87,0.514747679233551
apparent,obvious,8.47,0.4221523404121399
inexpensive,cheap,8.72,0.4866737425327301
nice,generous,5.0,0.3480740487575531
weird,normal,0.72,0.4972592294216156
weird,odd,9.2,0.7446365356445312
bad,immoral,7.62,0.18331636488437653
sad,funny,0.95,0.6326430439949036
wonderful,great,8.05,0.832552433013916
guilty,ashamed,6.38,0.496505469083786
beautiful,wonderful,6.5,0.7974168658256531
confident,sure,8.27,0.46290647983551025
dumb,dense,7.27,0.19208411872386932
large,big,9.55,0.5905501842498779
nice,cruel,0.67,0.27766332030296326
impatient,anxious,6.03,0.6358010768890381
big,broad,6.73,0.3584078848361969
strong,proud,3.17,0.6200088858604431
unnecessary,necessary,0.63,0.551609456539154
restless,young,1.6,0.2887077033519745
dumb,intelligent,0.75,0.4289495348930359
bad,great,0.35,0.6692022085189819
difficult,simple,0.87,0.4766662120819092
necessary,important,7.37,0.6549748778343201
bad,terrific,0.65,0.3166675567626953
mad,glad,1.45,0.6095202565193176
honest,guilty,1.18,0.399600625038147
easy,tough,0.52,0.6565315127372742
easy,flexible,4.1,0.3826846778392792
certain,sure,8.42,0.5722428560256958
essential,necessary,8.97,0.6060940623283386
different,normal,1.08,0.4584222435951233
sly,clever,7.25,0.46937862038612366
crucial,important,8.82,0.6024735569953918
harsh,cruel,8.18,0.5077664256095886
childish,foolish,5.5,0.5341853499412537
scarce,rare,9.17,0.2450922429561615
friendly,generous,5.9,0.4142058193683624
fragile,frigid,2.38,0.2526234984397888
long,narrow,3.57,0.2957391142845154
big,heavy,6.18,0.5172867178916931
rough,frigid,2.47,0.22116711735725403
bizarre,strange,9.37,0.6063552498817444
illegal,immoral,4.28,0.5328817367553711
