word1,word2,MEN,cos
sun,sunlight,50.0,0.6315881013870239
automobile,car,50.0,0.4675852656364441
river,water,49.0,0.46096479892730713
stairs,staircase,49.0,0.5360856652259827
morning,sunrise,49.0,0.546210527420044
rain,storm,49.0,0.767676830291748
cat,kittens,49.0,0.607135534286499
dance,dancers,49.0,0.6152002215385437
camera,photography,49.0,0.518023669719696
cat,feline,48.0,0.46592310070991516
sunny,sunshine,48.0,0.6301112174987793
pregnancy,pregnant,48.0,0.7131093144416809
beach,sand,48.0,0.6145749092102051
bakery,bread,48.0,0.618798553943634
flowers,garden,48.0,0.652773916721344
grass,lawn,48.0,0.7110230326652527
copper,metal,48.0,0.4958280622959137
photos,photography,47.0,0.6102825999259949
cemetery,graveyard,47.0,0.560576856136322
gravestone,graveyard,47.0,0.2896973788738251
sun,sunshine,47.0,0.6886034607887268
black,dark,47.0,0.7564663887023926
cathedral,church,47.0,0.6017656922340393
frozen,ice,47.0,0.7281714081764221
station,subway,47.0,0.5802069902420044
children,kids,46.0,0.8415481448173523
aquarium,fish,46.0,0.5416616201400757
light,lighting,46.0,0.6573306322097778
fungi,mushrooms,46.0,0.4491415321826935
frost,snow,46.0,0.6297463774681091
burn,flame,46.0,0.6135950684547424
ocean,sea,46.0,0.44111815094947815
candy,chocolate,46.0,0.7369462251663208
car,vehicle,46.0,0.6766553521156311
concert,music,46.0,0.6457148194313049
photos,picture,46.0,0.7114871740341187
grapes,wine,46.0,0.4731258153915405
bath,bathroom,46.0,0.7080913186073303
buds,flowers,46.0,0.4270620048046112
cat,kitty,46.0,0.8015092015266418
ocean,water,46.0,0.6343348026275635
aircraft,airplane,46.0,0.6147499680519104
butterfly,caterpillars,46.0,0.347627729177475
hair,wig,46.0,0.6997606754302979
blossom,buds,46.0,0.3018600046634674
highway,road,46.0,0.7537966966629028
bunny,rabbit,46.0,0.758945643901825
bread,sandwich,46.0,0.7335225939750671
mist,misty,46.0,0.32896319031715393
flowers,petals,46.0,0.6562768816947937
airplane,flight,46.0,0.6109164953231812
fish,fishing,46.0,0.644764244556427
ice,snow,46.0,0.6991844177246094
bright,sun,45.0,0.688234269618988
shade,tree,45.0,0.5667576193809509
bicycle,bike,45.0,0.7605888247489929
truck,vehicle,45.0,0.7080451846122742
shore,water,45.0,0.35447022318840027
boat,fishing,45.0,0.7367224097251892
dog,puppy,45.0,0.8299307227134705
bride,wedding,45.0,0.7310481667518616
birds,hummingbird,45.0,0.28624701499938965
sea,water,45.0,0.33871427178382874
cow,milk,45.0,0.5876659154891968
birds,feathers,45.0,0.49238499999046326
skate,skating,45.0,0.6822996735572815
chapel,church,45.0,0.6421674489974976
branch,twigs,45.0,0.21594728529453278
concert,musicians,45.0,0.3210560381412506
clothes,dress,45.0,0.7140421271324158
automobile,vehicle,45.0,0.5716184377670288
splash,swimming,45.0,0.4686843752861023
bed,furniture,45.0,0.43557319045066833
aircraft,flight,45.0,0.6197731494903564
reptiles,snake,45.0,0.36472517251968384
motorcycle,scooter,45.0,0.49965032935142517
coffee,tea,45.0,0.8275876641273499
feathers,goose,45.0,0.5106416940689087
pool,swimming,45.0,0.7955898642539978
eyes,face,45.0,0.6798202395439148
dirt,dirty,45.0,0.6443720459938049
railway,train,45.0,0.36044687032699585
harbour,port,45.0,0.5189016461372375
fruit,strawberry,45.0,0.6989942789077759
flight,plane,45.0,0.8204238414764404
smoke,smoking,45.0,0.8380029201507568
ivy,plant,45.0,0.23507681488990784
river,stream,45.0,0.39674535393714905
lake,water,45.0,0.5778155326843262
kittens,kitty,45.0,0.5871743559837341
snow,snowman,45.0,0.5663130283355713
dog,terrier,45.0,0.5194965600967407
daffodils,flowers,45.0,0.4530678987503052
pond,water,45.0,0.6181092858314514
show,television,44.0,0.5741233825683594
handwriting,written,44.0,0.424369752407074
flood,water,44.0,0.5858669877052307
jazz,musicians,44.0,0.495226114988327
eagle,feathers,44.0,0.4634094834327698
grapes,vine,44.0,0.20405249297618866
birds,hawk,44.0,0.5185534358024597
clothes,outfit,44.0,0.6860442161560059
exhibition,museum,44.0,0.7233489155769348
hand,palm,44.0,0.5030800700187683
grave,graveyard,44.0,0.13120552897453308
berry,strawberry,44.0,0.6578497886657715
forest,oak,44.0,0.6290193200111389
crochet,knitting,44.0,0.7388294339179993
birds,eagle,44.0,0.47715261578559875
canine,puppy,44.0,0.38331085443496704
bar,cocktail,44.0,0.5645157694816589
bar,pub,44.0,0.6797417402267456
sunlight,sunshine,44.0,0.5219663977622986
apple,fruit,44.0,0.5087645053863525
sun,sunrise,44.0,0.6427616477012634
gymnastics,sports,44.0,0.5507938861846924
sailing,ship,44.0,0.5612768530845642
beach,sea,44.0,0.4023020565509796
game,hockey,44.0,0.6623789668083191
bed,pillow,44.0,0.6680741310119629
daffodils,tulip,44.0,0.41039642691612244
flowers,plant,44.0,0.5279778838157654
fire,smoke,44.0,0.539143443107605
canine,dog,44.0,0.45649459958076477
bracelet,jewelry,44.0,0.7576752305030823
feline,kitty,44.0,0.4198828637599945
architecture,building,44.0,0.6500743627548218
shop,shopping,44.0,0.7232789993286133
highway,traffic,44.0,0.7147793769836426
lizard,reptiles,44.0,0.33099308609962463
music,piano,44.0,0.5499721169471741
strawberry,sweet,44.0,0.5780977010726929
snow,winter,44.0,0.7746025919914246
autumn,spring,44.0,0.7545311450958252
bacon,meat,44.0,0.6862161159515381
raspberry,strawberry,44.0,0.607459545135498
chipmunk,squirrel,44.0,0.5312997102737427
coast,harbor,44.0,0.5173578858375549
dress,skirt,44.0,0.8418239951133728
sun,sunny,44.0,0.6741853356361389
lily,tulip,44.0,0.32514041662216187
