word1,word2,MEN,cos
sun,sunlight,50.0,0.4538686275482178
automobile,car,50.0,0.5955727696418762
river,water,49.0,0.4985811412334442
stairs,staircase,49.0,0.7382939457893372
morning,sunrise,49.0,0.30848726630210876
rain,storm,49.0,0.5405979752540588
cat,kittens,49.0,0.38682737946510315
dance,dancers,49.0,0.6831094026565552
camera,photography,49.0,0.46447524428367615
cat,feline,48.0,0.48979705572128296
sunny,sunshine,48.0,0.5802180767059326
pregnancy,pregnant,48.0,0.6471549868583679
beach,sand,48.0,0.46819043159484863
bakery,bread,48.0,0.48023706674575806
flowers,garden,48.0,0.4502997100353241
grass,lawn,48.0,0.5430613160133362
copper,metal,48.0,0.5300983786582947
photos,photography,47.0,0.42424923181533813
cemetery,graveyard,47.0,0.5611225962638855
gravestone,graveyard,47.0,0.4387703239917755
sun,sunshine,47.0,0.4158798158168793
black,dark,47.0,0.5792543888092041
cathedral,church,47.0,0.6755961775779724
frozen,ice,47.0,0.48208943009376526
station,subway,47.0,0.4842972159385681
children,kids,46.0,0.7306383848190308
aquarium,fish,46.0,0.4356226921081543
light,lighting,46.0,0.4415198266506195
fungi,mushrooms,46.0,0.3834172487258911
frost,snow,46.0,0.3684946894645691
burn,flame,46.0,0.37747153639793396
ocean,sea,46.0,0.6844729781150818
candy,chocolate,46.0,0.6669201254844666
car,vehicle,46.0,0.7655367255210876
concert,music,46.0,0.5930525064468384
photos,picture,46.0,0.46628180146217346
grapes,wine,46.0,0.6019150614738464
bath,bathroom,46.0,0.42830750346183777
buds,flowers,46.0,0.5106067657470703
cat,kitty,46.0,0.40775245428085327
ocean,water,46.0,0.4769015610218048
aircraft,airplane,46.0,0.7290028929710388
butterfly,caterpillars,46.0,0.31566357612609863
hair,wig,46.0,0.5315895080566406
blossom,buds,46.0,0.41847357153892517
highway,road,46.0,0.7086231112480164
bunny,rabbit,46.0,0.5702722668647766
bread,sandwich,46.0,0.5489965677261353
mist,misty,46.0,0.4102575480937958
flowers,petals,46.0,0.6340815424919128
airplane,flight,46.0,0.6291643381118774
fish,fishing,46.0,0.5461738109588623
ice,snow,46.0,0.4949111342430115
bright,sun,45.0,0.4366672933101654
shade,tree,45.0,0.4572443664073944
bicycle,bike,45.0,0.826195240020752
